"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 24, 2017","0.057460","0.050920","0.058460","0.048080","299.42K","12.84%"
"Nov 23, 2017","0.050920","0.046340","0.052200","0.045710","240.85K","9.88%"
"Nov 22, 2017","0.046340","0.044500","0.046350","0.044110","100.46K","4.13%"
"Nov 21, 2017","0.044500","0.044600","0.046500","0.043950","102.20K","-0.22%"
"Nov 20, 2017","0.044600","0.044170","0.045540","0.043590","98.92K","0.97%"
"Nov 19, 2017","0.044170","0.044680","0.048590","0.043000","201.26K","-1.14%"
"Nov 18, 2017","0.044680","0.043010","0.044870","0.042500","107.18K","3.88%"
"Nov 17, 2017","0.043010","0.042000","0.043760","0.040500","141.55K","2.40%"
"Nov 16, 2017","0.042000","0.045590","0.046380","0.040970","216.61K","-7.87%"
"Nov 15, 2017","0.045590","0.050900","0.050900","0.044800","173.19K","-10.43%"
"Nov 14, 2017","0.050900","0.048200","0.051970","0.047000","166.05K","5.60%"
"Nov 13, 2017","0.048200","0.052030","0.054300","0.046340","291.16K","-7.36%"
"Nov 12, 2017","0.052030","0.049540","0.055810","0.046400","468.98K","5.03%"
"Nov 11, 2017","0.049540","0.045510","0.051390","0.044100","212.33K","8.86%"
"Nov 10, 2017","0.045510","0.044930","0.046870","0.043580","171.32K","1.29%"
"Nov 09, 2017","0.044930","0.041290","0.046190","0.041160","181.06K","8.82%"
"Nov 08, 2017","0.041290","0.040980","0.044500","0.038260","321.78K","0.76%"
"Nov 07, 2017","0.040980","0.042780","0.042800","0.040750","116.71K","-4.21%"
"Nov 06, 2017","0.042780","0.039870","0.043600","0.039800","150.73K","7.30%"
"Nov 05, 2017","0.039870","0.040580","0.041090","0.038840","86.68K","-1.75%"
"Nov 04, 2017","0.040580","0.042660","0.043200","0.039600","108.10K","-4.88%"
"Nov 03, 2017","0.042660","0.040600","0.043610","0.039300","181.64K","5.07%"
"Nov 02, 2017","0.040600","0.042700","0.043350","0.037500","378.04K","-4.92%"
"Nov 01, 2017","0.042700","0.046980","0.047780","0.042600","150.70K","-9.11%"
"Oct 31, 2017","0.046980","0.050030","0.050630","0.046900","71.77K","-6.10%"
"Oct 30, 2017","0.050030","0.049330","0.050740","0.049280","52.89K","1.42%"
"Oct 29, 2017","0.049330","0.051290","0.054000","0.048880","97.08K","-3.82%"
"Oct 28, 2017","0.051290","0.051490","0.052100","0.050210","33.93K","-0.39%"
"Oct 27, 2017","0.051490","0.050100","0.051950","0.049580","41.50K","2.77%"
"Oct 26, 2017","0.050100","0.051700","0.052360","0.049500","52.76K","-3.09%"
"Oct 25, 2017","0.051700","0.053760","0.054400","0.051600","54.11K","-3.83%"
"Oct 24, 2017","0.053760","0.048190","0.056370","0.048190","197.55K","11.56%"
"Oct 23, 2017","0.048190","0.049230","0.049500","0.046690","103.40K","-2.11%"
"Oct 22, 2017","0.049230","0.049900","0.051500","0.048870","74.21K","-1.34%"
"Oct 21, 2017","0.049900","0.050510","0.050870","0.047000","112.73K","-1.21%"
"Oct 20, 2017","0.050510","0.053880","0.054390","0.049280","97.41K","-6.25%"
"Oct 19, 2017","0.053880","0.056180","0.056570","0.053280","54.22K","-4.09%"
"Oct 18, 2017","0.056180","0.056340","0.057680","0.055490","66.40K","-0.28%"
"Oct 17, 2017","0.056340","0.057950","0.058570","0.055000","73.56K","-2.78%"
"Oct 16, 2017","0.057950","0.059100","0.062430","0.057600","127.58K","-1.95%"
"Oct 15, 2017","0.059100","0.058060","0.060580","0.056970","81.40K","1.79%"
"Oct 14, 2017","0.058060","0.059870","0.061850","0.057200","88.81K","-3.02%"
"Oct 13, 2017","0.059870","0.055690","0.062200","0.050610","346.38K","7.51%"
"Oct 12, 2017","0.055690","0.062780","0.063560","0.051520","190.08K","-11.29%"
"Oct 11, 2017","0.062780","0.062700","0.063710","0.061600","48.73K","0.13%"
"Oct 10, 2017","0.062700","0.062190","0.063570","0.060070","84.20K","0.82%"
